Datum,URL,Klicks,Impressionen,Durchschn. Position
2026-06-12,https://teleschmie.de/glossar/expertise-eeat/,0,1,2
2026-06-12,https://teleschmie.de/blog/rankscale-update-agency-api-chatgpt/,0,1,9
2026-06-19,https://teleschmie.de/blog/se-ranking-api-claude-code-setup/,0,4,5
2026-06-19,https://teleschmie.de/blog/rankscale-ai-visibility-tracking-17-llms/,0,4,8
2026-06-19,https://teleschmie.de/blog/rankscale-ai-visibility-tool/,0,4,7
2026-06-19,https://teleschmie.de/glossar/grounding-page/,0,4,14
2026-06-19,https://teleschmie.de/glossar/ueberstunde-berlin/,0,3,6
2026-06-19,https://teleschmie.de/blog/se-ranking-api-endpunkte-kompass/,0,3,3
2026-06-19,https://teleschmie.de/blog/seopresso-podcast-maximilian-muhr/,0,3,8
2026-06-19,https://teleschmie.de/ueber-mich/,0,1,9
2026-06-19,https://teleschmie.de/tools/groundingpage-generator/,0,1,25
2026-06-19,https://teleschmie.de/glossar/money-keyword/,0,1,3
2026-06-19,https://teleschmie.de/glossar/brand-mentions/,0,1,5
2026-06-19,https://teleschmie.de/blog/generative-engine-optimization-geo/,0,1,5
2026-06-26,https://teleschmie.de/blog/se-ranking-api-claude-code-setup/,0,6,4
2026-06-26,https://teleschmie.de/glossar/ueberstunde-berlin/,0,5,6
2026-06-26,https://teleschmie.de/blog/se-ranking-api-endpunkte-kompass/,0,4,4
2026-06-26,https://teleschmie.de/glossar/grounding-page/,0,2,17
2026-06-26,https://teleschmie.de/glossar/sichtbarkeitsindex/,0,1,7
2026-06-26,https://teleschmie.de/blog/seopresso-podcast-maximilian-muhr/,0,1,8
2026-06-26,https://teleschmie.de/blog/rankscale-ai-visibility-tool/,0,1,10
2026-06-26,https://teleschmie.de/glossar/brand-mentions/,0,1,9
2026-06-26,https://teleschmie.de/glossar/bing-webmastertools/,0,1,10
2026-06-26,https://teleschmie.de/blog/se-ranking-api-claude-code-praxis-test/,0,1,5
2026-06-26,https://teleschmie.de/blog/ai-crawler-sind-dumm-markdown/,0,1,3
2026-07-03,https://teleschmie.de/blog/se-ranking-api-claude-code-setup/,0,4,5
2026-07-03,https://teleschmie.de/glossar/ueberstunde-berlin/,0,3,9
2026-07-03,https://teleschmie.de/blog/se-ranking-api-endpunkte-kompass/,0,3,4
2026-07-03,https://teleschmie.de/tools/groundingpage-generator/,0,2,5
2026-07-03,https://teleschmie.de/blog/seopresso-podcast-maximilian-muhr/,0,2,8
2026-07-03,https://teleschmie.de/blog/grounding-page-generator-ai-seo/,0,1,4
2026-07-03,https://teleschmie.de/glossar/sichtbarkeitsindex/,0,1,7
2026-07-03,https://teleschmie.de/blog/rankscale-ai-visibility-tool/,0,1,10
2026-07-03,https://teleschmie.de/blog/rankscale-essentials-ai-tracking-einsteiger/,0,1,5
2026-07-03,https://teleschmie.de/glossar/trailing-slashes/,0,1,9
2026-07-03,https://teleschmie.de/glossar/mention/,0,1,5
2026-07-03,https://teleschmie.de/blog/se-ranking-ai-tracker/,0,1,3
2026-07-10,https://teleschmie.de/blog/se-ranking-api-claude-code-setup/,0,5,5
2026-07-10,https://teleschmie.de/blog/se-ranking-api-endpunkte-kompass/,0,5,4
2026-07-10,https://teleschmie.de/glossar/h1-h2-h3/,0,4,9
2026-07-10,https://teleschmie.de/glossar/ueberstunde-berlin/,0,3,7
2026-07-10,https://teleschmie.de/blog/grounding-page-generator-ai-seo/,0,2,10
2026-07-10,https://teleschmie.de/blog/rankscale-ai-visibility-tool/,0,2,10
2026-07-10,https://teleschmie.de/glossar/sichtbarkeitsindex/,0,1,6
2026-07-10,https://teleschmie.de/blog/rankscale-ai-visibility-tracking-17-llms/,0,1,10
2026-07-17,https://teleschmie.de/,4,5,1
2026-07-17,https://teleschmie.de/ueber-mich/,0,5,2
2026-07-17,https://teleschmie.de/glossar/ueberstunde-berlin/,0,5,8
2026-07-17,https://teleschmie.de/glossar/technisches-schema-markup/,0,4,8
2026-07-17,https://teleschmie.de/blog/se-ranking-api-claude-code-setup/,0,4,4
2026-07-17,https://teleschmie.de/blog/se-ranking-api-endpunkte-kompass/,0,3,4
2026-07-17,https://teleschmie.de/blog/freelance-unlocked-eis/,0,3,4
2026-07-17,https://teleschmie.de/blog/grounding-page-generator-ai-seo/,0,2,7
2026-07-17,https://teleschmie.de/tools/groundingpage-generator/,0,2,6
2026-07-17,https://teleschmie.de/glossar/sichtbarkeitsindex/,0,2,4
2026-07-17,https://teleschmie.de/glossar/h1-h2-h3/,0,1,10
2026-07-17,https://teleschmie.de/blog/rankscale-ai-visibility-tracking-17-llms/,0,1,6
